feature_id,edition,area,feature,role,user_story,expected_behavior,entry_points,code_evidence,test_evidence,feature_status,test_status,error_status,fix_status,retest_status,priority,notes,last_reviewed
PUBLIC-001,saas,Public web,Marketing home,Visitor,As a visitor I want to understand FoxDesk Cloud and reach signup or login quickly.,foxdesk.net shows the SaaS marketing page only; app-only routes redirect to app.foxdesk.net and the page keeps pricing/CTA/legal links public.,pages/cloud.php; index.php?page=cloud,pages/cloud.php; index.php host routing,tests/e2e/06-public-cloud.spec.js; tests/smoke/production-smoke.js,retested_pass,retested_pass,,,"Retested by public Cloud Playwright E2E for marketing copy, pricing separation, previews, and mobile overflow.",P1,"Public SaaS web only, not self-hosted app UI.",2026-06-22
PUBLIC-002,saas,Public web,Pricing CTA,Visitor,As a visitor I want one clear plan and a direct way to start a trial.,"Pricing CTA opens email-only signup, does not force Stripe before trial, and uses customer-facing copy only.",pages/cloud.php#pricing; pages/signup.php,pages/cloud.php; pages/signup.php,tests/e2e/06-public-cloud.spec.js; tests/signup-email-only-contract-test.php,retested_pass,retested_pass,,,"Retested by public Cloud Playwright E2E and email-only signup contract.",P1,"Stripe checkout belongs inside trial workspace billing, not the initial CTA.",2026-06-22
LEGAL-001,saas,Legal,Legal pages,Visitor,"As a visitor I want Terms, Privacy, DPA, Refund and Security documents available before signup.",Legal pages render public customer-facing legal copy without internal implementation details and remain linked from signup/public web.,pages/legal.php; pages/signup.php legal links; pages/cloud.php footer,pages/legal.php,tests/legal-copy-contract-test.php; tests/source-language-product-copy-contract-test.php,retested_pass,retested_pass,,,"Retested by legal copy contract and source-language/product-copy contract.",P1,Subprocessors must not be marketed as a normal public nav item unless required by legal flow.,2026-06-22
SIGNUP-001,saas,Signup,Email-only signup request,Visitor,As a visitor I want to start a 14-day trial by entering only my email.,"Signup form contains one email field, Turnstile, CSRF and legal text; POST creates a hashed magic-link token and shows a neutral Check your email state.",pages/signup.php POST,pages/signup.php; includes/signup-functions.php; includes/schema.sql,tests/signup-email-only-contract-test.php; tests/public-form-hardening-contract-test.php; tests/e2e/05-saas-control-plane.spec.js; npm run local:smoke,retested_pass,retested_pass,,"Implemented email-only request flow with hashed magic-link token, resend invalidation and no password/workspace fields.","Retested by signup contract, public form hardening, local smoke and real browser POST E2E.",P0,No workspace/name/password fields before email verification.,2026-06-22
SIGNUP-002,saas,Signup,Magic-link completion,Trial owner,As a verified email owner I want the link to create my workspace and sign me in.,"GET signup token validates hash, expiry and consumed state, provisions tenant/admin/default organization/trial, signs user in, redirects to Work and shows first-run setup steps.",pages/signup.php?token=...,includes/signup-functions.php; includes/tenant-functions.php; includes/auth.php; pages/work.php,tests/signup-email-only-contract-test.php; tests/e2e/05-saas-control-plane.spec.js,retested_pass,retested_pass,,"Implemented verified provisioning, atomic token claim before workspace creation, hidden random password, session login and first-run Work onboarding.","Retested by targeted Playwright signup E2E covering POST, hash-only token storage, resend invalidation and verified workspace creation.",P0,Plaintext token is never stored; existing users do not get duplicate workspaces.,2026-06-22
AUTH-001,shared,Authentication,Login and logout,User,As a user I want a secure sign-in and sign-out flow for my workspace.,"Login verifies password, sets tenant-aware session, supports remember-me safely and logout clears session state.",pages/login.php; pages/logout.php,includes/auth.php; pages/login.php,tests/e2e/01-core.spec.js; tests/home-redirect-contract-test.php,retested_pass,retested_pass,,,"Retested by home redirect contract and full core Playwright login/logout workflow.",P0,Magic-link signup uses login_user_session after email verification.,2026-06-22
AUTH-002,shared,Authentication,Password reset,User,As a user I want to recover access when I forgot my password.,"Forgot/reset pages require Turnstile, send a time-limited reset token, validate token hash and update password securely.",pages/forgot-password.php; pages/reset-password.php,pages/forgot-password.php; pages/reset-password.php; includes/auth.php; includes/mailer.php,tests/public-form-hardening-contract-test.php; tests/e2e/01-core.spec.js,retested_pass,retested_pass,,,"Retested by public form hardening contract and core Playwright profile/password setup coverage.",P0,Existing signup email requests route here instead of creating another tenant.,2026-06-22
HOST-001,saas,Host separation,Public/app/platform host routing,Visitor/User/Operator,As any user I want each domain to show the correct product surface.,"foxdesk.net serves public site, app.foxdesk.net serves customer workspaces, platform.foxdesk.net serves platform admin only, with redirects preventing context confusion.",foxdesk.net; app.foxdesk.net; platform.foxdesk.net,index.php; includes/tenant-functions.php,tests/platform-workspace-host-contract-test.php; tests/home-redirect-contract-test.php,retested_pass,retested_pass,,,"Retested by platform/workspace host contract and home redirect contract.",P0,Critical to avoid mixing SaaS admin and workspace admin.,2026-06-22
WORK-001,shared,Work,Daily work queues,Agent,As an agent I want one home screen showing the work that needs attention now.,"Work displays mine, unassigned, overdue, waiting and done_today queues from shared modules and links to the matching ticket view.",pages/work.php,pages/work.php; includes/modules/work/work-queues.php,tests/work-queues-test.php; tests/work-page-contract-test.php,retested_pass,retested_pass,,,"Retested by work queue contracts, Work page contract, and full core Playwright workflow.",P0,Intake queue details should not create a second confusing agenda.,2026-06-22
INBOX-001,shared,Inbox,Intake triage,Agent,As an agent I want new intake work to appear inside Work without learning a second agenda.,Inbox remains a compatibility route that redirects legacy triage links into Work queues; it is not exposed in sidebar or command palette.,pages/inbox.php; pages/work.php,pages/inbox.php; includes/modules/inbox/inbox-service.php; includes/modules/work/work-queues.php,tests/inbox-service-test.php; tests/inbox-page-contract-test.php; tests/core-ux-flow-parity-contract-test.php,retested_pass,retested_pass,,Resolved by keeping Inbox as a legacy redirect into Work and removing it from primary navigation.,Retested by inbox and core UX flow contracts.,P1,Product risk reduced: intake concepts stay in Work instead of creating a parallel agenda.,2026-06-21
DASH-001,legacy,Dashboard,Analytics dashboard,Admin/Agent,"As a returning user I may want analytics, but daily work should start from Work.","Dashboard remains a compatibility analytics view, is removed from primary sidebar navigation, and is reachable as Analytics from Work/command palette.",pages/dashboard.php; pages/work.php,pages/dashboard.php; pages/work.php; includes/dashboard-functions.php; includes/modules/app/dashboard-compat.php,tests/dashboard-compat-contract-test.php; tests/dashboard-surface-contract-test.php; tests/core-ux-flow-parity-contract-test.php; tests/work-page-contract-test.php,retested_pass,retested_pass,,Resolved by moving Dashboard out of primary navigation and relabeling the route as Analytics where users choose it.,Retested by core UX flow and Work contracts.,P2,Legacy analytics surface remains available without competing with Work as home.,2026-06-21
TICKET-001,shared,Tickets,Ticket registry views,Agent,"As an agent I want open, waiting, done, archive and all ticket views that never hide completed work from search.",Tickets list uses shared views and filters; Done/closed tickets remain visible in Done and All.,pages/tickets.php,pages/tickets.php; includes/modules/tickets/ticket-list-views.php; includes/modules/tickets/ticket-list-filters.php,tests/ticket-list-views-test.php; tests/ticket-list-filter-contract-test.php,retested_pass,retested_pass,"Tickets page did not explicitly own the shared closed-ticket visibility decision, so Done/All visibility could drift away from the helper contract.","Added explicit closed visibility calculation in pages/tickets.php, passed it into the registry split model, and updated the row view-model contract for the new boundary.","Retested by ticket-list views, ticket-row view-model, ticket-list filters, global search contracts, and full core Playwright workflow.",P0,Regression target from previous closed-ticket visibility bug.,2026-06-22
TICKET-002,shared,Tickets,New ticket,Agent/Admin,As an agent I want to create a ticket without accidental client assignment.,New ticket requires explicit or deterministic assignment; if agent/company is unclear the field stays empty and no random company is selected.,pages/new-ticket.php; api quick-create-ticket,pages/new-ticket.php; includes/components/ticket-form-handlers.php; includes/api/ticket-handler.php,tests/core-ux-flow-parity-contract-test.php; tests/e2e/01-core.spec.js,retested_pass,retested_pass,,,"Retested by core UX flow contract and Playwright regression that creates tickets without carrying over previous company or assignee selection.",P0,Regression target from random company fallback issue.,2026-06-22
TICKET-003,shared,Tickets,Ticket detail read model,Agent/Client,"As a user I want ticket detail to show title, status, client, assignee, activity and allowed actions consistently.",Ticket detail context comes from shared read-model modules; layout prevents broken headings and shows correct actions by state and permission.,pages/ticket-detail.php,pages/ticket-detail.php; includes/modules/tickets/ticket-detail-context.php; includes/modules/tickets/ticket-detail-read-model.php,tests/ticket-detail-context-contract-test.php; tests/ticket-detail-surface-contract-test.php; tests/ticket-sidebar-surface-contract-test.php,retested_pass,retested_pass,Ticket detail surface contract found generated muted metadata using the generic theme muted utility instead of the ticket-detail-muted surface class.,"Changed ticket detail metadata/history muted text to ticket-detail-muted and kept the shared read-model/surface contracts green.","Retested by ticket detail context, surface, sidebar, composer contracts, and full core Playwright workflow.",P0,Needs ongoing visual smoke for long titles and right sidebar consistency.,2026-06-22
TICKET-004,shared,Tickets,Reply and comments,Agent/Client,As a user I want to reply publicly or internally and preserve readable formatting.,"Composer supports public/internal replies, attachments, status update on submit, email notification policy and formatted content.",pages/ticket-detail.php composer,includes/components/ticket-detail-composer.php; includes/api/ticket-handler.php; includes/modules/email/email-renderer.php,tests/ticket-composer-surface-contract-test.php; tests/email-format-test.php; tests/email-policy,retested_pass,retested_pass,,,"Retested by ticket composer surface contract, notification policy contract, email notification contract, email formatting contract, pseudo-cron email contract, and core Playwright workflow.",P0,Email body formatting and notification duplication remain high-risk areas for runtime testing.,2026-06-22
TICKET-005,shared,Tickets,Ticket workflow actions,Agent,"As an agent I want Start work, Pause, Complete and Edit to do exactly what the label says.",Start work starts timer; pause pauses timer; complete moves ticket to a done status without cancelling it and should stop or resolve active timer behavior predictably.,ticket detail action buttons; api timer/status endpoints,includes/modules/tickets/ticket-detail-actions.php; includes/api/ticket-handler.php; includes/ticket-time-functions.php,tests/ticket-detail-actions-test.php; tests/core-ux-flow-parity-contract-test.php,retested_pass,retested_pass,Reported workflow failure: Complete had no useful tooltip and could leave a running timer active after completion.,"Fixed: active timer changes Complete label to Complete & stop timer, sends stop_timer_on_complete, and handler explicitly stops the timer.",Retested: ticket-detail-actions contract and local smoke passed.,P0,Keep this in E2E runtime queue for browser verification on a real active timer.,2026-06-21
TICKET-006,shared,Time tracking,Timers and manual time,Agent/Admin,As an agent I want to track time on tickets and as admin I want that time to feed reports.,"Timer endpoints start/pause/resume/stop/discard; manual time entries can be added, edited and deleted within permissions.",ticket detail timer; api start-timer/pause/resume/stop/quick-log-time,includes/ticket-time-functions.php; includes/api/ticket-handler.php; pages/admin/reports.php; assets/js/report-billing-review.js,tests/ticket-detail-actions-test.php; tests/reporting-flow-contract-test.php; tests/e2e/01-core.spec.js,retested_pass,retested_pass,Report item billing adjustment controls were trapped in the horizontally scrolled amount column and could be unreachable in browser tests.,"Moved item-level adjustment controls into a full-width row below each billable entry, updated live total JS to resolve forms by entry id, and added E2E for complete active timer.","Retested: active timer complete E2E, report item/bulk adjustment E2E, and report module contracts passed.",P0,Keep full attachment/report export flows in the next runtime pass.,2026-06-21
